PLAYER_ID,PLAYER_NAME,SEASON,PTS,FGA,FG3A,FTA,AST,REB,OREB,DREB,STL,BLK,TOV,PF,PFD,PLUS_MINUS,TS_PCT,USG_PCT,AST_PCT,REB_PCT,OFF_RATING,DEF_RATING,3PAr,FTr,CLUSTER,CLUSTER_NAME
1627749,Dejounte Murray,2024-25,25.0,22.8,8.0,5.7,10.5,9.2,0.8,8.5,2.9,0.6,4.9,2.8,3.8,-9.6,0.494,0.263,0.347,0.094,109.0,118.1,0.3508771929824561,0.25,5,Secondary Playmakers and Scorers
1626153,Delon Wright,2024-25,9.6,10.0,5.6,1.9,5.9,5.0,2.1,3.0,2.7,0.9,1.7,1.9,2.4,0.1,0.44,0.111,0.162,0.051,106.1,106.3,0.5599999999999999,0.19,1,Role Players and Defensive Specialists
1630166,Deni Avdija,2024-25,27.2,18.8,7.6,8.3,6.3,11.7,2.5,9.2,1.6,0.8,4.4,3.8,6.6,-1.7,0.605,0.228,0.193,0.117,113.6,114.5,0.40425531914893614,0.44148936170212766,5,Secondary Playmakers and Scorers
203471,Dennis Schröder,2024-25,22.3,18.8,8.4,4.9,9.2,4.5,0.6,3.9,1.5,0.3,3.2,4.1,4.8,-1.6,0.531,0.211,0.287,0.046,111.8,112.8,0.44680851063829785,0.26063829787234044,0,Paint Players
1641726,Dereck Lively II,2024-25,18.0,10.9,0.0,4.2,4.9,15.5,6.0,9.5,1.1,3.2,2.3,5.7,2.9,6.9,0.704,0.132,0.143,0.155,114.1,106.4,0.0,0.3853211009174312,2,Spot Up Shooters
1627884,Derrick Jones Jr.,2024-25,20.1,15.2,5.6,3.0,1.5,6.8,2.4,4.4,2.0,0.8,1.7,3.9,2.6,6.4,0.609,0.16,0.044,0.072,115.5,108.7,0.3684210526315789,0.19736842105263158,1,Role Players and Defensive Specialists
1628401,Derrick White,2024-25,23.8,18.3,13.2,3.1,6.9,6.5,1.3,5.2,1.4,1.5,2.5,2.6,3.1,10.3,0.606,0.195,0.199,0.064,119.7,109.5,0.721311475409836,0.16939890710382513,0,Paint Players
1630217,Desmond Bane,2024-25,27.6,21.2,8.7,4.1,7.7,8.7,1.3,7.4,1.7,0.6,3.5,3.4,2.8,3.0,0.6,0.227,0.235,0.088,116.1,113.3,0.410377358490566,0.19339622641509432,0,Paint Players
1626164,Devin Booker,2024-25,33.4,24.7,9.6,8.4,9.2,5.3,1.3,4.0,1.2,0.3,3.8,3.4,7.0,-3.1,0.589,0.285,0.301,0.055,115.3,118.5,0.38866396761133604,0.3400809716599191,5,Secondary Playmakers and Scorers
1642269,Devin Carter,2024-25,16.6,15.3,7.3,5.3,4.9,9.1,2.3,6.9,2.5,0.5,2.2,4.7,5.7,5.2,0.471,0.169,0.139,0.093,113.1,109.3,0.4771241830065359,0.3464052287581699,0,Paint Players
1630170,Devin Vassell,2024-25,25.0,21.4,10.3,2.9,4.4,6.1,0.8,5.3,2.0,0.8,2.1,2.6,2.4,-6.3,0.553,0.217,0.139,0.062,111.9,118.1,0.4813084112149533,0.1355140186915888,0,Paint Players
1628415,Dillon Brooks,2024-25,21.4,18.2,9.5,2.5,2.6,5.6,1.5,4.1,1.2,0.3,1.5,4.9,2.2,4.2,0.555,0.176,0.076,0.054,113.5,108.8,0.521978021978022,0.13736263736263737,1,Role Players and Defensive Specialists
1641794,Dillon Jones,2024-25,11.6,11.4,5.4,2.4,5.0,10.4,2.6,7.8,1.4,0.3,2.4,4.6,1.8,6.4,0.464,0.131,0.143,0.102,108.9,102.9,0.4736842105263158,0.21052631578947367,1,Role Players and Defensive Specialists
1627734,Domantas Sabonis,2024-25,26.5,17.7,3.1,5.7,8.4,19.2,5.3,13.9,0.9,0.5,4.0,4.5,5.5,2.8,0.655,0.213,0.251,0.199,116.5,113.9,0.17514124293785313,0.3220338983050848,5,Secondary Playmakers and Scorers
1631230,Dominick Barlow,2024-25,18.0,13.7,3.3,4.0,2.3,10.3,4.3,6.1,1.1,1.9,0.6,5.7,3.5,-0.2,0.58,0.141,0.07,0.114,110.2,111.8,0.24087591240875914,0.29197080291970806,3,High Usage Stars
1642270,Donovan Clingan,2024-25,15.6,11.9,1.7,3.7,2.7,18.8,7.7,11.1,1.2,3.9,2.6,6.7,3.5,-0.1,0.574,0.135,0.081,0.179,109.9,109.7,0.14285714285714285,0.31092436974789917,2,Spot Up Shooters
1628378,Donovan Mitchell,2024-25,35.7,27.7,13.3,7.6,7.4,6.8,1.2,5.6,2.0,0.4,3.1,2.9,5.8,11.0,0.575,0.298,0.238,0.069,119.7,109.1,0.48014440433213,0.2743682310469314,5,Secondary Playmakers and Scorers
1628978,Donte DiVincenzo,2024-25,21.6,17.7,13.1,1.9,6.7,6.8,1.0,5.8,2.2,0.5,3.0,3.4,2.6,5.2,0.582,0.188,0.203,0.068,114.2,109.1,0.7401129943502825,0.10734463276836158,0,Paint Players
1627827,Dorian Finney-Smith,2024-25,14.8,11.7,8.5,1.2,2.4,6.7,2.2,4.5,1.6,0.6,1.5,3.7,1.1,8.3,0.604,0.123,0.066,0.069,119.1,110.3,0.7264957264957266,0.10256410256410256,1,Role Players and Defensive Specialists
203926,Doug McDermott,2024-25,20.2,16.1,13.9,0.7,1.0,3.0,0.4,2.6,0.5,0.3,0.8,4.1,0.4,3.7,0.617,0.15,0.028,0.031,111.5,109.9,0.8633540372670807,0.04347826086956521,1,Role Players and Defensive Specialists
